spkitemid,WORDS,TYPES,%FUNC,%QUESTION,%EXCLAIM,SD_WLEN,AVG_WFREQ,SD_WFREQ,%CC,%CD,%DT,%IN,%JJ,%MD,%NN,%PRP,%RB,%VB,%REPEATED,LM,score2,IS_NATIVE,average_score
4358.0,454.0,176.0,0.5566037735849056,0.0044052863436123,0.0,2.10016930440276,7.949775425582451,1.3005996824026052,0.0462555066079295,0.0088105726872246,0.092511013215859,0.1035242290748898,0.0440528634361233,0.0374449339207048,0.1696035242290749,0.0903083700440528,0.0616740088105726,0.2268722466960353,0.0307692307692307,-2.24878411650364,4,0,4.0
3292.0,716.0,224.0,0.5317829457364341,0.0,0.0,2.3626269043311017,7.795131793460272,1.5199426326923668,0.0321229050279329,0.0125698324022346,0.0977653631284916,0.1131284916201117,0.053072625698324,0.0377094972067039,0.1997206703910614,0.0488826815642458,0.0586592178770949,0.1983240223463688,0.0532544378698224,-2.16116331424188,4,0,4.0
3545.0,691.0,211.0,0.5522648083623694,0.0014471780028943,0.0,2.0283953496297493,7.597240375242811,1.7778900580485693,0.0492040520984081,0.0028943560057887,0.0636758321273516,0.08972503617945,0.0535455861070911,0.0188133140376266,0.1577424023154848,0.109985528219971,0.0549927641099855,0.191027496382055,0.0641025641025641,-2.159959742294763,3,0,3.5
3713.0,555.0,193.0,0.5256673511293635,0.0054054054054054,0.0,2.175314413684669,7.997198004721786,1.1325560798381438,0.0396396396396396,0.0036036036036036,0.1045045045045045,0.0666666666666666,0.0522522522522522,0.036036036036036,0.2036036036036036,0.0432432432432432,0.0864864864864864,0.1801801801801801,0.0476190476190476,-2.227121158686098,4,0,4.0
3179.0,423.0,157.0,0.5921052631578947,0.0047281323877068,0.0,2.0564926573808853,7.837967244084197,1.7250499159613302,0.0378250591016548,0.0118203309692671,0.0851063829787234,0.1205673758865248,0.0614657210401891,0.0236406619385342,0.182033096926714,0.0685579196217494,0.0567375886524822,0.1985815602836879,0.0288461538461538,-2.181427923325856,4,0,4.0
4675.0,195.0,85.0,0.5300546448087432,0.0,0.0,2.0296703296614464,7.274047507333692,2.6456563042544845,0.0564102564102564,0.0,0.1025641025641025,0.0666666666666666,0.0512820512820512,0.0307692307692307,0.2153846153846154,0.0769230769230769,0.0512820512820512,0.2461538461538461,0.0357142857142857,-2.2260449905106716,2,0,2.0
4174.0,726.0,220.0,0.5516739446870451,0.0,0.0,2.406696852799575,7.523716439114477,2.000669091247509,0.0261707988980716,0.0082644628099173,0.0840220385674931,0.09366391184573,0.0454545454545454,0.0275482093663911,0.162534435261708,0.1005509641873278,0.0826446280991735,0.2327823691460055,0.0643274853801169,-2.2215174425672863,4,0,4.0
3149.0,451.0,177.0,0.5789473684210527,0.0,0.0,1.9184872668350967,7.85005658707732,1.4251232152133642,0.0465631929046563,0.0110864745011086,0.1042128603104212,0.1263858093126385,0.0332594235033259,0.0155210643015521,0.2150776053215077,0.1152993348115299,0.0199556541019955,0.1818181818181818,0.046875,-2.3290035753552503,3,0,3.0
3855.0,281.0,119.0,0.5693430656934306,0.0,0.0,2.6458444462833195,6.9382070426338265,2.9624592421842584,0.0498220640569395,0.0035587188612099,0.0498220640569395,0.1032028469750889,0.0569395017793594,0.0604982206405694,0.195729537366548,0.1103202846975089,0.0320284697508896,0.2455516014234876,0.036144578313253,-2.4336725953802003,3,0,3.0
3582.0,173.0,103.0,0.5146198830409356,0.0057803468208092,0.0,2.114760901989399,7.462371252824753,2.2281776249920595,0.0693641618497109,0.0,0.0693641618497109,0.1329479768786127,0.0520231213872832,0.023121387283237,0.1965317919075144,0.0867052023121387,0.0809248554913294,0.1907514450867052,0.0153846153846153,-2.6894518999482298,3,0,3.0
3788.0,427.0,130.0,0.532133676092545,0.0,0.0,2.1988437549354063,8.200657581653566,1.0018030998545129,0.018735362997658,0.009367681498829,0.0843091334894613,0.0679156908665105,0.072599531615925,0.0491803278688524,0.1334894613583138,0.0796252927400468,0.063231850117096,0.2505854800936768,0.0843373493975903,-2.222492232947229,4,0,4.0
3205.0,339.0,164.0,0.5048231511254019,0.0,0.0,2.226376404524793,7.593820450011433,1.9601194122459071,0.0471976401179941,0.0088495575221238,0.1061946902654867,0.0973451327433628,0.0560471976401179,0.0294985250737463,0.2212389380530973,0.0501474926253687,0.0560471976401179,0.1858407079646017,0.008130081300813,-2.4834250477539124,3,0,3.0
3728.0,431.0,201.0,0.555,0.0,0.0023201856148491,2.4093567606313515,7.882089481966545,1.2789417203756897,0.037122969837587,0.0139211136890951,0.0696055684454756,0.1206496519721577,0.0835266821345707,0.0208816705336426,0.1716937354988399,0.0696055684454756,0.0812064965197215,0.1809744779582366,0.0132450331125827,-2.11405789794274,4,0,4.0
3584.0,263.0,114.0,0.5176991150442478,0.0,0.0,2.342844099471892,8.12741009396166,1.058944537933936,0.0152091254752851,0.026615969581749,0.1216730038022813,0.1140684410646388,0.0494296577946768,0.0342205323193916,0.2205323193916348,0.0418250950570342,0.0380228136882129,0.1711026615969581,0.050632911392405,-2.318870964800563,4,0,4.0
3011.0,452.0,164.0,0.6020942408376964,0.0044247787610619,0.0,1.8253508291602976,8.030826685816228,1.4423678882631523,0.0221238938053097,0.0110619469026548,0.0663716814159292,0.084070796460177,0.0398230088495575,0.0265486725663716,0.1482300884955752,0.1283185840707964,0.0685840707964601,0.2123893805309734,0.0357142857142857,-2.2242042717427672,3,0,3.5
3501.0,461.0,188.0,0.5552825552825553,0.0,0.0,2.4850560607630308,7.69574720515887,1.6558749484386337,0.0390455531453362,0.0108459869848156,0.0976138828633405,0.1149674620390455,0.0303687635574837,0.0216919739696312,0.1995661605206073,0.0954446854663774,0.0412147505422993,0.2017353579175705,0.0217391304347826,-2.2731212645015684,4,0,4.0
3988.0,426.0,145.0,0.5388739946380697,0.0046948356807511,0.0,2.1221223613040547,8.140154922659848,0.8761250199379416,0.0422535211267605,0.0070422535211267,0.068075117370892,0.0892018779342723,0.0751173708920187,0.0399061032863849,0.192488262910798,0.0845070422535211,0.0657276995305164,0.1713615023474178,0.0747663551401869,-1.9475852734067325,4,0,4.0
4328.0,383.0,126.0,0.5244956772334294,0.0,0.0,1.955279911995744,8.060762799455496,1.1480006113684311,0.0574412532637075,0.0,0.0939947780678851,0.0861618798955613,0.0234986945169712,0.0600522193211488,0.1879895561357702,0.06266318537859,0.0678851174934725,0.2062663185378589,0.064516129032258,-2.203623395386608,3,0,3.0
3774.0,365.0,124.0,0.5481927710843374,0.0,0.0,2.482863316459809,7.699232662356668,1.9702254326738111,0.0273972602739726,0.0082191780821917,0.1260273972602739,0.1150684931506849,0.0493150684931506,0.0547945205479452,0.2273972602739726,0.0410958904109589,0.021917808219178,0.1808219178082192,0.0769230769230769,-2.3580076912955525,4,0,3.5
